english	mongolian	note	source_page
apogee	сар буюу дэлхийн хиймэл дагуулын тойрог замын дэлхийгээс хамгийн хол орших цэг, хөгжлийн дээд цэг, оргил, цэцэглэл, мандалт		31
Apollonius' circle	Аполлоны тойрог		31
apparatus	багаж, хэрэгсэл, аппарат		31
apparent	илэрхий, тодорхой, харагдах, санагдах		31
apparent argument	хуурамч баталгаа		34
apparently	тодорхой, илэрхий		31
appear	гарч ирэх, гарч байх, байх, гарах, үзэгдэх		31
appendix	хавсралт		32
applicate	босоо тэнхлэг (огторгуй дахь z тэнхлэг)		32
application	хэрэглээ, хавсралт, давхарлах (геометрт)		32
Applications: Using Tax Tables	Хэрэглээ; татварын хүснэгт ашиглах нь		32
applied	хэрэглээний, хавсарга		32
applied mathematics	хэрэглээний математик		32
apply correction for	-ыг засах		32
applying mathematics	хэрэглээний математик		32
appreciate	үнэлэх, ойлгох		32
approach	дөхөлт, ойртолт, хандлага, арга, зарчим, дөхөх, ойртох, тэмүүлэх		32
appropriate	тохирох, харгалзах, олгох		32
appropriately	тохирох, харгалзан		33
approve	сайшаах, нотлох		33
approximate square roots	квадрат язгуурын ойролцоо утга		33
approximate value	ойролцоо утга		33
approximated	ойролцоо илэрхийлсэн		33
approximating	ойролцоо илэрхийлэх, ойролцоо утга авах		33
approximating irrational number by rationals	иррационал тоог рационал тоогоор ойролцоо илэрхийлэх		33
approximation	ойролцоо илэрхийлэх, дөхөлт, ойролцоо утга, ойролцоо илэрхийлэл, ойролцоо утга олох томьёо		33
apt	боломжтой, магадлалтай, чадварлаг, тохирох		33
arbitrarily	дураар, хичнээн ч		33
arbitrarily assigned	дураар өгсөн		38
arbitrary	дурын, дураар сонгосон, санамсаргүй		33
arc AB	AB нум		33
arc cosecant	арккосеканс		33
arc measure	нумын хэмжээ		33
arc of circle	тойргийн нум		33
area of a circle	дугуйн талбай		34
area of a triangle	гурвалжны талбай		34
area under a curve	муруйн доорх талбай		34
argue	ургуулан бодох, үндэслэх, хэлэлцэх, нотлох, батлах		34
argument by analogy	төстэй баталгаа		34
argument of function	функцийн аргумент		34
argumentation	үндэслэл, гаргалгаа, баталгаа, батлах, тайлбар хийх, ургуулан бодох, үндэслэх		34
arise (arose, arisen)	үүсэх, буй болох		34
Aristotelian logic	Аристотелийн логик		34
arithmetic average	арифметик дундаж		41
arithmetic calculation with decimals	аравтын бутархайн арифметикийн үйлдэл		35
arithmetic operations	арифметикийн үйлдэл		35
arithmetical	арифметикийн, арифметик		35
arm	өнцгийн тал, хажуу тал (адил хажуут гурвалжны), мөр (хөшүүргийн), гар, хөшүүрэг		35
around	тойрон, бүтэн тойрох, тойруулан, эргэн тойрон, орчим, ойролцоо		35
arrange the following numbers increasing order	доорх тоонуудыг өсөх эрэмбээр байрлуул		35
arrangement	байрлал, дэс дараатай байрлал, гүйлгэмэл, тархалт, систем, конфигурац		36
arrangement of axes	координатын тэнхлэгийн чиглэл		36
array of signs for a 3x3 determinant	3x3 тодорхойлогчийн тэмдгийн хүснэгт		36
arrive	хүргэх, хүрэх		36
arrow diagram	сумтай диаграмм (зураг)		36
artificial	зохиомол, хиймэл		37
Artistotle's logical works	Аристотелийн логикийн бүтээл		34
as	мэт, гэж, -аас, байхад, болгон, ... нь -ээс хамаарсан, болох нь, үеийн		37
as .... as	-ийн мэт, -тэй адил		37
as against	-тэй харьцуулбал		22
as an alternate method of solution	бодох нэмэлт нэгэн арга болгон		25
as close as	хичнээн ч ойр, маш ойр		37
as far as	аль болохуйц, боломжийн хэрээр, хүртэл, -ээр болох		37
as large as you like	хичнээн л бол хичнээн их, хүссэнээр их		37
as long as	хэрэв... бол...		37
as much again	хоёр дахин их		22
as much as	хичнээн, хэрэв... бол...		38
as Q moves closer to P	Q цэг нь P цэг рүү ойртоход		37
as soon as division is introduced	хуваах үйлдэл тодорхойлонгуут		38
as well as	бас, болон, ...мэтийн		38
as x→a	x нь a руу тэмүүлэхэд, x нь a руу тэмүүлэх үеийн		37
ascend	дээшлэх, өгсөх, өсөх		38
ascendancy, ascendency	өсөлт, дээшлэлт, өсөх		38
ascendant, ascendent	өсөлт, өсөж байгаа		38
ascent	өгсөлт, өсөх, мандах		38
ascertain	тогтоох, итгэх, үнэмших, тайлбарлах		38
aselect	санамсаргүй		38
Asia	Ази (тив)		38
aspect	үзэл, санаа, үзэл санаа, асуудал, зүйл, тал		38
aspect of algebra	алгебрын үзэл санаа		38
aspects of number theory	тооны онолын асуудал		38
aspherical	бөмбөрцөг бус, бөмбөрцгөөс өөр, бөмбөрцөг болохгүй		38
assay	туршилт, шалгалт, шалгах, турших, шалгах, анализ хийх		38
assemblage	цуглуулга, бүл		38
assert	нотлох, дэвшүүлэх (таамаглал), үндэслэх, дүгнэх		38
assertion	нотломж, хэллэг, сэтгэмж		38
assertive	нотолсон		38
assess	үнэлэх, тодорхойлох		38
assessment	үнэлгээ, үнэлэлт, бодол, сэтгэмж		38
assign	оноох, харгалзуулах, өгөх, олгох, тодорхойлох		38
assignable	санамсаргүй бус, тодорхой шалтгаантай		38
assigned	өгсөн (хэмжигдэхүүн)		38
assigning	оноох		39
assigning probability	магадлал оноох		39
assignment	даалгавар, оноолт, тархалт, утга өгөх		39
associate	холбоотой, холбох, нэгтгэх, бүлэглэх, харгалзах, харгалзуулах		39
associated	холбосон, бүлэглэсэн, оноосон, харгалзуулсан		39
association	бүлэг, харилцан холбоо		39
associative law	бүлэглэх хууль		39
associative property	бүлэглэх чанар		39
assort	бүлэглэх, ангилах		39
assume that	гэж үзье (гэе)		39
Assume that all variable represent nonzero real numbers.	Бүх хувьсагчийг тэгээс ялгаатай бодит тоо илэрхийлсэн гэж үз		39
assurance	гарцаагүй болох (нь), гарцаагүй нь		39
asymmetric	тэгшхэмгүй		39
asymmetry	тэгшхэмгүй		40
asymptote	асимптот, хашлага шулуун		40
asymptote to a hyperbola	гиперболын асимптот		40
asynchronous	нэгэн зэрэг бус, цуварсан (хугацаа)		40
at an angle of	өнцөг үүсгэн		29
at least	дор хаяж, наанадаж, хамгийн бага нь		41
at (on) the average, upon the average	дунджаар		41
at point A	A цэгт		40
at six o'clock	зургаан цагт		40
at the right	баруун талд, баруун тал дахь		40
atom	атом, элемент		41
atomic	атомын		41
attach	холбох, бэхлэх, утга өгөх		41
attain	хүрэх, авах		41
attempt	оролдлого, туршлага, туршилт, оролдох, турших		41
attitude	байр суурь (үзэл бодлын), үзэл бодол		41
attract	анхаарал татах, сэтгэл татах		41
attribute	гол шинж, гол чанар, салшгүй шинж, чанарын үзүүлэлт, холбоотой (хамаатай) гэж үзэх		41
augment	өсөх, нэмэгдүүлэх, нэмэх, нөхөх		41
augmentation	өсөлт, өөрчлөлт, гүйцээлт, нэмэлт, өргөтгөл, өсөх		41
augmented matrix	өргөтгөсөн матриц		41
automorph	автоморф		41
auxiliary	нэмэлт		41
auxiliary figure	нэмэлт дүрс		41
availability	боломжтой болох нь, тохиромжтой, ашигтай, зохистой		41
available	боломж, боломжийн		41
available unit	тохиромжтой нэгж		41
averaged	дундажласан		41
averaging	дундажлалт, дундаж утга гаргах		41
avoid	зайлсхийх, зайлах, тойрох		42
aware	ухаарсан, ойлгосон, мэдлэгтэй, ухаарах, ойлгох, мэдэх		42
away	алсалсан		42
awkward point	онцгой цэг		42
axes of coordinates	координатын тэнхлэгүүд		42
axial	тэнхлэг, тэнхлэгийн		42
axiom of parallels	параллелийн аксиом		42
axiomatic	аксиомын, аксиомт, аксиомын систем		42
axiomatic method	аксиомын арга		42
axiomatic set theory	олонлогийн онолын аксиомын систем, олонлогийн аксиомт онол		42
axiomatics	аксиомчлал, аксиомууд		42
axiomatization	аксиомчилал, онолыг аксиомоор байгуулах, онолын аксиомын томьёолол		42
axiomatize	аксиомлах, аксиом томьёолох		42
axiomatized	аксиомчилсан, аксиом томьёолсон		42
axis (axes)	тэнхлэг (тэнхлэгүүд)		42
axis of a symmetry	тэгшхэмийн тэнхлэг		42
azimuth	азимут (хөдөлгөөний өгсөн чиглэл, хойд зүг хоёрын хоорондох өнцөг)		42
Babylonian mathematical tablet	Вавилоны математикийн шаантаг бичиг		42
background	урьдчилсан дүгнэлт, бэлтгэл, хөрс		42
backward	урвуу, урвуу чиглэлд, ухраах, буцаах, хоцрогдсон		43
balance	жин, дэнс, тэнцвэр, дүн, үлдэгдэл, баланс, тэнцвэртэй байх, тэнцэх, тэнцүүлэх, жинлэх, баланслах, баланс гаргах, эргэцүүлэн бодох		43
balance of forces	хүчний тэнцвэр		43
balanced	тэнцсэн, балансалсан		43
ball	бөмбөрцөг, бөмбөг		43
band	зурвас, тууз, задгай завсар, муж		43
bank of data	мэдээний сан		43
bar	зураас, тэмдэг, үсгийн дээр буюу хажуу дахь жижиг зураас, тэгшөнцөгт, багана		43
bar chart	баганан диаграмм		43
bar graph(s)	баганан диаграмм		43
basal	суурь		43
base angle	суурийн өнцөг		29
below the average	дундажаас доогуур		41
by accident	санамсаргүй		17
by an algorithm	алгоритмоор, дүрмээр		24
by analogy	үүнтэй адилаар ургуулан бодох, үүнтэй төстэйгээр ургуулан бодох		27
by analogy with, on the analogy of	-тэй төстэйгээр		27
by assumption	урьдчилсан дүгнэлт ёсоор, таамаглал ёсоор		39
center at (0,0)	төв нь (0, 0) цэгт		41
circle circumscribed about the regular hexagon	зөв зургаанөнцөгтийг багтаасан тойрог		13
closed ball	битүү бөмбөлөг, битүү бөмбөрцөг		43
computing aids	тооцоолох хэрэгсэл		22
coordinate axes	координатын тэнхлэгүүд		42
critical assumption	шийдвэрлэх дүгнэлт		39
data acquisition	мэдээ цуглуулах		18
deductive argument	дедукц баталгаа, дедукц ургуулан бодолт		34
Definite integral as a limit of a Sum	Тодорхой интеграл нийлбэрийн хязгаар болох нь		37
distance away from the centre of the circle	тойргийн төвөөс алсалсан зай		42
do the arithmetic	арифметикийн үйлдэл гүйцэтгэ		35
does not affect	нөлөөгүй		22
domain of admissible values	боломжит утгын муж		21
draw analogy (to, with)	-тэй төстэйгээр гүйцэтгэх (хийх)		27
Euclidean algorithm	Евклидийн алгоритм		24
Express 81 as a power of 3.	81-ийг 3-ын зэрэг болгон бич		37
far apart	их зайтай		31
finite aggregate	төгсгөлөг олонлог		22
fraction bar	бутархайн зураас		43
geometric approach	геометр хандлага (арга)		32
geometry activity	геометрийн ажиллагаа		18
graphic approach	график арга		32
horizontal arrangement	хөндлөн байрлал		36
horizontal asymptote	хөндлөн (хэвтээ) асимптот		40
horizontal asymptote for the graph of function	функцийн графикийн хөндлөн асимптот		40
horizontal axis	хөндлөн (хэвтээ) тэнхлэг		42
if we abstract	хэрэв хийсвэрлэвэл		15
in accordance with	-ийн дагуу, ёсоор, дагуу, харгалзан		17
in advance	урьдчилан, урьдаас		21
in the aggregate	цогцоороо		22
in the last analysis	эцсийн дүнд		28
inductive argument	индукцийн баталгаа, индукцээр ургуулан бодох		34
limit	хязгаар		32
linear aggregate	шугаман эвлүүлэг		22
logical absurdity	логик зөрчил, логикийн үүднээс зөрчилтэй		16
logical assessment	логик үнэлгээ		38
logically absurd	логик зөрчил, логикийн үүднээс зөрчилтэй		16
mathematical analysis	математик анализ		28
mathematical apparatus	математикийн хэрэгсэл		31
method of analyzing	анализ хийх арга		28
minor arc	бага нум		33
Multiply as with whole numbers.	Сөрөг бус бүхэл тоо мэт үржүүл		37
on the angle	өнцгөөр, налан		29
open ball	задгай бөмбөрцөг, бөмбөлөг		43
per unit area	нэгж талбайд		34
random allocation	санамсаргүй тархалт		25
Read || as is parallel.	|| -ийг ... нь ... -тэй параллел гэж унш		37
read backwards	буцааж (ухрааж) унших		43
reduction ad absurdum	утгагүйд шилжүүлэх		18
solve algebraically the inequalities	тэнцэтгэлбишийг алгебр аргаар бод		24
square array	квадрат хүснэгт		36
start at O	O цэгээс эхэл		40
statement about numbers and operations	тоо, үйлдэл хоёрын тухай хэллэг (нотломж)		13
symmetrical about the y-axis	у тэнхлэгийн хувьд тэгшхэмтэй		13
take away	холдуул		42
the accuracy of a measurement	хэмжилтийн нарийвчлал		17
the altitude of the cone	конусын өндөр		26
the angle construction postulate	Өгсөн хэмжээтэй өнцөг байгуулах постулат		28
the angle measure postulate	Өнцөг хэмжих постулат		29
the arm of the angle	өнцгийн тал		35
the arms of a right triangle	тэгш өнцөгт гурвалжны хоёр катет		35
the dollar amount of the check	чекийн нийт доллар, чекийн мөнгөний дүн		27
the limit as x approaches 1 of...	-ийн x нь 1 рүү тэмүүлэх үеийн -ийн хязгаар		37
the number assigned to a point on a number line	тоон шулуун дээрх цэгт оноосон тоо (харгалзуулсан тоо)		38
The scales are balanced.	Дэнсний (хилийн) хоёр таваг тэнцвэртэй байна		43
the series is ascending	цуваа өсөж байна		38
the two lines intersect at point E	хоёр шулуун E цэгт огтлолцож байна		40
then be amended as follows	...ийг доорхи байдлаар дэлгэрүүлж болно		26
there is no alternative	өөр сонголт байхгүй		26
to abbreviate notation	тэмдэглэлийг (бичиглэлийг) хураангуйлах		13
to accept hypothesis	таамаглал хүлээн зөвшөөрөх		16
to account for	тайлбарлах, анхаарах, тооцоолох		17
to add up to	нэмэх, нийлбэр болгох		19
to admit hypothesis	таамаглал хүлээн зөвшөөрөх		21
to allow for	засвар хийх, тооцох		25
to an accuracy of	хүртэл нарийвчлалтай		17
to approach a limit	хязгаар луу тэмүүлэх		32
to approach to infinity	хязгааргүй руу тэмүүлэх		32
to argue away	зохисгүйг батлах		34
to argue in a circle	эргүүлгэнд орох, эндүү батлах		34
to arrive at a conclusion	дүгнэлтэд хүрэх		36
to attack on the problem	бодлогоо бодож эхлэх		41
to avoid this error	энэхүү алдаанаас зайлах		42
to be aware of	-ийг ухаарах		42
to be in accord with	харгалзах, хангах, уялдах		17
to be in agreement with	-тэй нийцэх (зохицох, уялдах)		22
to make an angle with	–тэй өнцөг үүсгэх		29
to prove an argument	дүгнэлт батлах		34
to reason by analogy	төсөөтэй дүгнэлт хийх, төсөөтэй ургуулан бодох		27
to take account of	анхаарах, тооцох, гэж үзэх		17
total amount	нийт тоон хэмжээ		27
training aids	сургалтын хэрэгсэл		22
true assertion	үнэн хэллэг		38
value assignment	хувьсагчид утга өгөх		39
vertical arrangement	гулд байрлал		36
vertical asymptote	гулд (босоо) асимптот		40
vertical axis	гулд (босоо) тэнхлэг		42
vertical bar	босоо зураас		43
visual aids	үзүүлэн таниулах хэрэгсэл, үзүүлэн		22
with an accuracy to	хүртэл нарийвчлалтай		17
y as a function of x	y нь x -ээс хамаарсан функц		37
y varies directly as x	y нь x -ээс шууд хамаарч байна, y нь x -ээс шууд хамааралтай		37
